LOBO 0019 - Yaquina
Yaquina Bay
date [PST]	CDOM [QSDE]	conductivity [S/m]	dissolved oxygen [ml/l]	fluorescence [ug/L]	nitrate [uM]	oxygen saturation [ml/l]	oxygen % saturation [%]	PAR	phosphate concentration [uM]	pressure [dBar]	ps voltage [V]	salinity	scattering coeff [1/m*sr]	temperature [C]	turbidity [NTU]
2007-11-01 15:00:00	6.16	3.61	5.03	0.70	29.1	6.31	79.7			2.670	14.1	32.51	0.005872	10.52	2.00
2007-11-01 16:00:00	6.23	3.61	4.70	0.74	27.6	6.32	74.5			2.664	14.1	32.51	0.007129	10.50	2.43
2007-11-01 17:00:00	6.03	3.61	4.75	0.81	26.5	6.32	75.1			2.670	14.1	32.63	0.007451	10.42	2.54
2007-11-01 18:00:00	5.83	3.62	5.74	0.80	25.8	6.32	90.8			2.670	14.1	32.77	0.005496	10.37	1.87
2007-11-01 19:00:00	5.78	3.63	6.03	0.81	25.1	6.32	95.4			2.670	14.1	32.81	0.006138	10.36	2.09
2007-11-01 20:00:00	6.21	3.61	6.09	0.84	23.3	6.32	96.4			2.670	14.1	32.60	0.006626	10.43	2.26
2007-11-01 21:00:00	6.53	3.60	5.75	0.83	22.0	6.32	91.0			2.678	14.1	32.37	0.007253	10.52	2.47
2007-11-01 22:00:00	6.82	3.58	5.73	0.91	20.7	6.31	90.7			2.680	14.1	32.05	0.007654	10.66	2.61
2007-11-01 23:00:00	6.79	3.58	5.08	0.86	20.7	6.32	80.4			2.680	14.1	32.19	0.007154	10.56	2.44
2007-11-02 00:00:00	6.75	3.58	5.70	0.85	20.6	6.32	90.3			2.680	14.1	32.22	0.006739	10.55	2.30
2007-11-02 01:00:00	6.67	3.59	5.76	0.85	20.4	6.32	91.1			2.690	14.1	32.32	0.006093	10.49	2.08
2007-11-02 03:00:00	7.47	3.51	5.74	0.81	19.7	6.36	90.3			2.680	14.1	31.60	0.005912	10.44	2.02
2007-11-02 04:00:00	7.55	3.52	5.81	0.85	19.3	6.35	91.6			2.680	14.1	31.63	0.005739	10.53	1.96
2007-11-02 05:00:00	7.22	3.54	5.45	0.79	19.1	6.34	86.0			2.680	14.1	31.84	0.006195	10.50	2.11
2007-11-02 06:00:00	6.83	3.56	5.50	0.81	19.3	6.34	86.8			2.680	14.1	32.08	0.006749	10.47	2.30
2007-11-02 07:00:00	6.30	3.59	5.07	0.65	22.7	6.38	79.4			2.690	14.1	32.78	0.006665	9.93	2.27
2007-11-02 08:00:00	6.05	3.58	5.07	0.53	24.0	6.40	79.2			2.699	14.1	32.92	0.005924	9.75	2.02
2007-11-02 09:00:00		3.58	4.90	0.49	24.5	6.42	76.3			2.700	13.9	33.08	0.006727	9.60	2.29
2007-11-02 10:00:00	6.11	3.57	4.91	0.52	24.1	6.42	76.5			2.699	14.1	32.83	0.005711	9.67	1.95
2007-11-02 11:00:00	5.99	3.58	4.44	0.50	24.4	6.41	69.2			2.700	14.1	32.95	0.005738	9.66	1.96
2007-11-02 12:00:00	6.06	3.58	4.90	0.48	23.8	6.40	76.6			2.695	14.2	32.83	0.005090	9.78	1.74
2007-11-02 13:00:00	6.13	3.59	5.17	0.53	22.8	6.37	81.1			2.690	14.2	32.69	0.005038	10.03	1.72
2007-11-02 14:00:00	6.27	3.59	5.37	0.59	22.3	6.36	84.5			2.690	14.2	32.57	0.005118	10.16	1.75
2007-11-02 15:00:00	6.36	3.57	5.31	0.66	22.4	6.37	83.3			2.690	14.2	32.52	0.005447	10.09	1.86
2007-11-02 16:00:00	6.37	3.58	5.18	0.64	22.4	6.37	81.3			2.680	14.2	32.54	0.005304	10.08	1.81
