"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Severe",374.999999998278,"2011-01-17 22:30:00","2011-01-18 04:45:00",41.0738,41.07451,7.06153846153846
"Severe",60.0000000028615,"2011-01-20 04:00:00","2011-01-20 05:00:00",41.07991,41.08002,7.298
"Severe",119.999999998254,"2011-12-31 06:16:00","2011-12-31 08:16:00",42.02537,42.0256,7.27888888888889
"Severe",165.000000001334,"2011-12-31 19:46:00","2011-12-31 22:31:00",42.02691,42.02723,7.23416666666667
"Severe",240.000000000242,"2012-01-01 05:46:00","2012-01-01 09:46:00",42.02806,42.02851,7.20882352941176
"Severe",165.000000001334,"2012-01-19 23:31:00","2012-01-20 02:16:00",42.0794,42.07971,7.03666666666667
"Severe",90.0000000024249,"2012-01-20 07:31:00","2012-01-20 09:01:00",42.08031,42.08048,7.05857142857143
"Severe",344.999999998714,"2012-01-20 20:01:00","2012-01-21 01:46:00",42.08174,42.08239,7.073
"Severe",164.999999997599,"2012-01-21 11:46:00","2012-01-21 14:31:00",42.08354,42.08385,7.155
"Severe",240.000000000242,"2012-01-22 00:46:00","2012-01-22 04:46:00",42.08502,42.08548,7.128125
"Severe",164.999999997599,"2012-04-01 21:01:00","2012-04-01 23:46:00",42.27911,42.27943,7.23
"Severe",165.000000001334,"2012-11-21 07:46:00","2012-11-21 10:31:00",42.91869,42.91901,7.2175
"Severe",269.999999999806,"2012-11-22 07:31:00","2012-11-22 12:01:00",42.92141,42.92192,7.20368421052632
"Severe",60.0000000028615,"2012-12-06 08:46:00","2012-12-06 09:46:00",42.9599,42.96002,7.294
"Severe",89.9999999986903,"2012-12-07 08:01:00","2012-12-07 09:31:00",42.96256,42.96273,7.28
"Severe",195.000000004632,"2014-12-22 02:16:00","2014-12-22 05:31:00",45.003,45.00337,7.13214285714286
"Severe",134.999999998035,"2014-12-22 13:46:00","2014-12-22 16:01:00",45.00431,45.00457,7.25
"Severe",210.000000004413,"2014-12-23 02:16:00","2014-12-23 05:46:00",45.00574,45.00614,7.10466666666667
"Severe",420.000000005092,"2015-12-19 04:01:00","2015-12-19 11:01:00",45.99498,45.99578,7.01103448275862
"Severe",299.999999999369,"2015-12-19 19:16:00","2015-12-20 00:16:00",45.99672,45.99729,7.14952380952381
"Severe",254.999999996289,"2015-12-20 07:01:00","2015-12-20 11:16:00",45.99806,45.99855,7.16166666666667
"Severe",194.999999997162,"2016-11-26 11:01:00","2016-11-26 14:16:00",46.9355,46.93588,7.22428571428571
"Severe",165.000000005068,"2016-11-27 00:46:00","2016-11-27 03:31:00",46.93707,46.93739,7.25916666666667
"Severe",89.9999999986903,"2020-12-23 08:16:00","2020-12-23 09:46:00",51.0119,51.01207,7.26285714285714
"Severe",314.999999999151,"2023-12-07 07:00:00","2023-12-07 12:15:00",53.96792,53.96852,7.14181818181818
