"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Extreme",150.000000001552,"2011-01-18 01:45:00","2011-01-18 04:15:00",41.07417,41.07446,6.92181818181818
"Extreme",74.9999999989086,"2012-01-20 01:01:00","2012-01-20 02:16:00",42.07957,42.07971,6.93333333333333
"Extreme",59.9999999991269,"2012-01-21 00:46:00","2012-01-21 01:46:00",42.08228,42.08239,6.88
"Extreme",209.999999996944,"2015-12-19 07:16:00","2015-12-19 10:46:00",45.99535,45.99575,6.92133333333333
"Severe",284.999999999587,"2011-01-18","2011-01-18 04:45:00",41.07397,41.07451,6.997
"Severe",104.999999998472,"2011-12-31 20:31:00","2011-12-31 22:16:00",42.027,42.0272,7.21875
"Severe",165.000000001334,"2012-01-01 07:01:00","2012-01-01 09:46:00",42.0282,42.02851,7.18583333333333
"Severe",150.000000001552,"2012-01-19 23:46:00","2012-01-20 02:16:00",42.07943,42.07971,7.01545454545455
"Severe",90.0000000024249,"2012-01-20 07:31:00","2012-01-20 09:01:00",42.08031,42.08048,7.05857142857143
"Severe",314.999999999151,"2012-01-20 20:31:00","2012-01-21 01:46:00",42.08179,42.08239,7.05
"Severe",135.00000000177,"2012-01-21 12:01:00","2012-01-21 14:16:00",42.08356,42.08382,7.135
"Severe",195.000000000897,"2012-01-22 01:16:00","2012-01-22 04:31:00",42.08508,42.08545,7.11
"Severe",135.00000000177,"2012-04-01 21:16:00","2012-04-01 23:31:00",42.27914,42.2794,7.22
"Severe",134.999999998035,"2012-11-21 08:16:00","2012-11-21 10:31:00",42.91875,42.91901,7.205
"Severe",210.000000000679,"2012-11-22 08:31:00","2012-11-22 12:01:00",42.92152,42.92192,7.18466666666667
"Severe",164.999999997599,"2014-12-22 02:31:00","2014-12-22 05:16:00",45.00303,45.00334,7.11
"Severe",105.000000002207,"2014-12-22 14:16:00","2014-12-22 16:01:00",45.00437,45.00457,7.2475
"Severe",195.000000000897,"2014-12-23 02:31:00","2014-12-23 05:46:00",45.00577,45.00614,7.09142857142857
"Severe",405.000000001576,"2015-12-19 04:16:00","2015-12-19 11:01:00",45.99501,45.99578,7.00178571428571
"Severe",255.000000000024,"2015-12-19 19:46:00","2015-12-20 00:01:00",45.99678,45.99726,7.12944444444444
"Severe",225.00000000046,"2015-12-20 07:31:00","2015-12-20 11:16:00",45.99812,45.99855,7.148125
"Severe",165.000000005068,"2016-11-26 11:16:00","2016-11-26 14:01:00",46.93553,46.93585,7.215
"Severe",284.999999999587,"2023-12-07 07:15:00","2023-12-07 12:00:00",53.96795,53.96849,7.1295
"Severe",299.999999999369,"2023-12-07 20:30:00","2023-12-08 01:30:00",53.96946,53.97003,7.09761904761905
"Severe",225.00000000046,"2023-12-08 08:15:00","2023-12-08 12:00:00",53.9708,53.97123,7.180625
"Severe",150.000000001552,"2023-12-08 23:15:00","2023-12-09 01:45:00",53.97252,53.9728,7.20454545454545
"Moderate",120.000000001988,"2010-12-15 22:30:00","2010-12-16 00:30:00",40.98339,40.98362,7.46555555555556
"Moderate",224.999999996726,"2010-12-16 22:30:00","2010-12-17 02:15:00",40.98613,40.98656,7.449375
"Moderate",150.000000001552,"2010-12-30 23:15:00","2010-12-31 01:45:00",41.02457,41.02486,7.44181818181818
"Moderate",120.000000001988,"2011-01-17 11:30:00","2011-01-17 13:30:00",41.07255,41.07277,7.48666666666667
"Moderate",510.000000003782,"2011-01-17 20:30:00","2011-01-18 05:00:00",41.07357,41.07454,7.13514285714286
"Moderate",195.000000000897,"2011-01-18 11:15:00","2011-01-18 14:30:00",41.07526,41.07563,7.32714285714286
"Moderate",194.999999997162,"2011-01-19 01:15:00","2011-01-19 04:30:00",41.07686,41.07723,7.34857142857143
"Moderate",180.000000001115,"2011-01-20 02:15:00","2011-01-20 05:15:00",41.07971,41.08005,7.35923076923077
"Moderate",269.999999999806,"2011-07-07 19:00:00","2011-07-07 23:30:00",41.54189,41.54241,7.46947368421053
"Moderate",284.999999999587,"2011-07-08 10:30:00","2011-07-08 15:15:00",41.54366,41.54421,7.453
